school_id,pupil_id,grade,Fluency,Kiswahili,Math,attendance_records,present_records,region,province,tutoring_program,teacher_id,lesson_completion_rate,pupil_percent_present,Fluency_encoding
416,13430,Grade 3,142.0,0.8857142925262451,0.9333333373069763,61,49,Kirinyaga,Central,No,124,0.250460405156538,80.33,0
416,14146,Grade 5,71.0,0.4749999940395355,0.3400000035762787,86,21,Kirinyaga,Central,No,145,0.396761133603239,24.42,0
416,14161,Grade 4,61.0,0.5,0.36000001430511475,99,88,Kirinyaga,Central,No,516,0.359154929577465,88.89,0
416,14284,Grade 1,2.0,0.02857142873108387,0.03333333507180214,66,41,Kirinyaga,Central,No,505,0.568400770712909,62.12,1
416,14325,Grade 2,46.0,0.7714285850524902,0.3333333432674408,102,78,Kirinyaga,Central,No,202,0.680608365019011,76.47,0
416,14600,Grade 3,91.0,0.6857143044471741,0.5666666626930237,61,49,Kirinyaga,Central,No,124,0.250460405156538,80.33,0
416,14663,Grade 3,57.0,0.37142857909202576,0.5333333611488342,42,33,Kirinyaga,Central,No,124,0.250460405156538,78.57,0
416,14895,Grade 1,35.0,0.6571428775787354,0.9333333373069763,85,56,Kirinyaga,Central,No,505,0.568400770712909,65.88,0
416,14979,Grade 1,40.0,0.7714285850524902,0.9666666388511658,85,52,Kirinyaga,Central,No,505,0.568400770712909,61.18,0
416,15012,Grade 4,1.0,0.11999999731779099,0.14000000059604645,99,82,Kirinyaga,Central,No,516,0.359154929577465,82.83,1
416,15447,Grade 5,78.0,0.6499999761581421,0.6800000071525574,86,52,Kirinyaga,Central,No,145,0.396761133603239,60.47,0
416,15600,Grade 4,49.0,0.5600000023841858,0.5199999809265137,99,90,Kirinyaga,Central,No,516,0.359154929577465,90.91,0
416,15766,Grade 4,1.0,0.07999999821186066,0.07999999821186066,99,73,Kirinyaga,Central,No,516,0.359154929577465,73.74,1
416,16077,Grade 5,122.0,0.8500000238418579,0.5799999833106995,86,47,Kirinyaga,Central,No,145,0.396761133603239,54.65,0
416,17174,Grade 3,103.0,0.4285714328289032,0.7333333492279053,61,34,Kirinyaga,Central,No,124,0.250460405156538,55.74,0
416,17780,Grade 5,105.0,0.8999999761581421,0.6399999856948853,86,60,Kirinyaga,Central,No,145,0.396761133603239,69.77,0
416,18534,Grade 5,75.0,0.4749999940395355,0.6200000047683716,37,37,Kirinyaga,Central,No,145,0.396761133603239,100.0,0
416,19019,Grade 2,71.0,0.6000000238418579,0.46666666865348816,102,48,Kirinyaga,Central,No,202,0.680608365019011,47.06,0
416,19156,Grade 1,2.0,0.11428571492433548,0.8666666746139526,38,31,Kirinyaga,Central,No,505,0.568400770712909,81.58,1
416,19166,Grade 5,121.0,0.625,0.699999988079071,37,33,Kirinyaga,Central,No,145,0.396761133603239,89.19,0
416,19332,Grade 3,66.0,0.5142857432365417,0.3333333432674408,61,44,Kirinyaga,Central,No,124,0.250460405156538,72.13,0
416,19773,Grade 3,105.0,0.6857143044471741,0.5666666626930237,61,50,Kirinyaga,Central,No,124,0.250460405156538,81.97,0
416,20335,Grade 4,149.0,0.8600000143051147,0.9599999785423279,44,39,Kirinyaga,Central,No,516,0.359154929577465,88.64,0
416,21072,Grade 4,101.0,0.9200000166893005,0.8799999952316284,99,91,Kirinyaga,Central,No,516,0.359154929577465,91.92,0
416,21655,Grade 2,21.0,0.6857143044471741,0.3333333432674408,102,75,Kirinyaga,Central,No,202,0.680608365019011,73.53,0
416,22180,Grade 4,72.0,0.7599999904632568,0.41999998688697815,99,76,Kirinyaga,Central,No,516,0.359154929577465,76.77,0
416,22749,Grade 2,41.0,0.6000000238418579,0.800000011920929,102,86,Kirinyaga,Central,No,202,0.680608365019011,84.31,0
416,22755,Grade 2,43.0,0.6571428775787354,0.6333333253860474,102,73,Kirinyaga,Central,No,202,0.680608365019011,71.57,0
416,22914,Grade 1,20.0,0.1428571492433548,0.9333333373069763,85,59,Kirinyaga,Central,No,505,0.568400770712909,69.41,0
416,23004,Grade 4,137.0,0.8399999737739563,0.8999999761581421,44,41,Kirinyaga,Central,No,516,0.359154929577465,93.18,0
416,23222,Grade 1,43.0,0.6571428775787354,0.9666666388511658,85,76,Kirinyaga,Central,No,505,0.568400770712909,89.41,0
416,23303,Grade 3,105.0,0.8857142925262451,0.7666666507720947,61,39,Kirinyaga,Central,No,124,0.250460405156538,63.93,0
416,23757,Grade 2,41.0,0.6571428775787354,0.800000011920929,102,92,Kirinyaga,Central,No,202,0.680608365019011,90.2,0
416,23915,Grade 2,61.0,0.6857143044471741,0.46666666865348816,102,87,Kirinyaga,Central,No,202,0.680608365019011,85.29,0
416,24279,Grade 5,35.0,0.05000000074505806,0.14000000059604645,37,28,Kirinyaga,Central,No,145,0.396761133603239,75.68,0
416,24640,Grade 3,128.0,0.6571428775787354,0.5666666626930237,57,22,Kirinyaga,Central,No,124,0.250460405156538,38.6,0
416,24781,Grade 3,2.0,0.0,0.0,61,49,Kirinyaga,Central,No,124,0.250460405156538,80.33,1
416,24966,Grade 1,26.0,0.11428571492433548,0.800000011920929,85,62,Kirinyaga,Central,No,505,0.568400770712909,72.94,0
